07:05,заезд,X937TA69,KAMAZ,
07:22,заезд,B939BH43,AURUS,
07:32,заезд,X413KA75,PAZ,
07:41,выезд,X413KA75,PAZ,
07:44,заезд,C883EE06,VAZ,
07:45,заезд,Y761BE13,GAZ,
07:49,заезд,K481OP50,UAZ,
07:53,заезд,C138YM51,LIAZ,
07:56,заезд,Y076CX34,VAZ,
07:56,заезд,M564AH94,AURUS,
07:59,заезд,K740XT65,KAMAZ,
08:03,заезд,H673TC00,GAZ,
08:05,заезд,T741BY01,KAMAZ,
08:09,заезд,E273OC51,VAZ,
08:10,заезд,K951XC93,LIAZ,
08:27,заезд,Y589AT16,UAZ,
08:32,заезд,X410EY77,AURUS,
08:53,заезд,M315CY70,KAMAZ,
09:01,заезд,X184AM96,KAMAZ,
09:02,выезд,E273OC51,VAZ,
09:05,выезд,T741BY01,KAMAZ,
09:23,заезд,P086KK38,AURUS,
09:26,заезд,C306MC36,VAZ,
09:30,заезд,T383CM68,LIAZ,
09:30,заезд,H794CP55,UAZ,
09:32,заезд,K277XO56,PAZ,
09:33,заезд,T383EM02,PAZ,
09:36,выезд,H673TC00,GAZ,
09:46,заезд,H275KY55,UAZ,
09:47,выезд,B939BH43,AURUS,
09:57,заезд,Y348YC09,GAZ,
09:58,заезд,E363EE44,LIAZ,
10:03,заезд,P371AA83,LIAZ,
10:13,выезд,K951XC93,LIAZ,
10:14,выезд,Y348YC09,GAZ,
10:17,выезд,K740XT65,KAMAZ,
10:20,заезд,H959TM03,AURUS,
10:26,заезд,T056MY35,KAMAZ,
10:26,выезд,H959TM03,AURUS,
10:34,заезд,P268KK78,LIAZ,
10:34,заезд,Y901CB82,PAZ,
10:36,заезд,X363KT08,KAMAZ,
10:36,выезд,K481OP50,UAZ,
10:40,выезд,H275KY55,UAZ,
11:00,заезд,C318XE38,UAZ,
11:00,выезд,Y076CX34,VAZ,
11:00,заезд,M516BO52,UAZ,
11:18,заезд,T768PX28,VAZ,
11:23,заезд,Y574KX55,AURUS,
11:34,заезд,B939BH43,AURUS,
11:34,заезд,K486EC59,LIAZ,
11:38,заезд,Y076CX34,VAZ,
11:41,выезд,Y589AT16,UAZ,
11:44,заезд,Y347MO19,PAZ,
11:45,заезд,K481OP50,UAZ,
11:48,выезд,P086KK38,AURUS,
11:59,заезд,P336OB10,UAZ,
12:02,выезд,X410EY77,AURUS,
12:19,заезд,B837TB39,GAZ,
12:21,выезд,B837TB39,GAZ,
12:29,выезд,X363KT08,KAMAZ,
12:32,выезд,T056MY35,KAMAZ,
12:33,заезд,M803TC23,PAZ,
12:34,выезд,E363EE44,LIAZ,
12:45,выезд,M803TC23,PAZ,
12:45,выезд,K486EC59,LIAZ,
12:47,заезд,P086KK38,AURUS,
12:48,выезд,H794CP55,UAZ,
12:52,заезд,K031MA81,PAZ,
12:54,заезд,M733XA13,GAZ,
12:57,заезд,B455XK93,PAZ,
12:57,выезд,M315CY70,KAMAZ,
13:10,выезд,M733XA13,GAZ,
13:14,выезд,Y901CB82,PAZ,
13:16,выезд,M516BO52,UAZ,
13:20,заезд,T375XT35,KAMAZ,
13:21,заезд,M733XA13,GAZ,
13:21,заезд,Y589AT16,UAZ,
13:26,выезд,Y574KX55,AURUS,
13:27,заезд,K486EC59,LIAZ,
13:40,заезд,M516BO52,UAZ,
13:43,заезд,H673TC00,GAZ,
13:44,выезд,C883EE06,VAZ,
13:47,выезд,X937TA69,KAMAZ,
14:06,заезд,Y574KX55,AURUS,
14:09,заезд,M315CY70,KAMAZ,
14:09,заезд,B837TB39,GAZ,
14:12,заезд,Y534EB71,GAZ,
14:13,заезд,E363EE44,LIAZ,
14:21,заезд,C883EE06,VAZ,
14:32,выезд,Y589AT16,UAZ,
14:36,заезд,M169EH07,PAZ,
14:52,заезд,B324AO17,AURUS,
14:53,выезд,Y076CX34,VAZ,
15:08,выезд,C138YM51,LIAZ,
15:09,выезд,K486EC59,LIAZ,
15:12,выезд,P371AA83,LIAZ,
15:17,выезд,M169EH07,PAZ,
15:20,заезд,Y645OP76,AURUS,
15:20,выезд,Y534EB71,GAZ,
15:23,заезд,T741BY01,KAMAZ,
15:46,заезд,Y348YC09,GAZ,
15:46,заезд,K951XC93,LIAZ,
15:58,заезд,C027PT75,VAZ,
16:01,выезд,B455XK93,PAZ,
16:01,выезд,K951XC93,LIAZ,
16:02,выезд,Y761BE13,GAZ,
16:09,заезд,K740XT65,KAMAZ,
16:14,заезд,X413KA75,PAZ,
16:14,заезд,Y534EB71,GAZ,
16:16,заезд,E273OC51,VAZ,
16:17,выезд,M564AH94,AURUS,
16:33,выезд,P086KK38,AURUS,
16:33,заезд,M564AH94,AURUS,
16:38,выезд,C318XE38,UAZ,
16:39,заезд,M803TC23,PAZ,
16:39,заезд,E854HA56,LIAZ,
16:55,заезд,O584MM76,GAZ,
16:55,выезд,Y347MO19,PAZ,
17:01,выезд,H673TC00,GAZ,
17:04,заезд,P371AA83,LIAZ,
17:06,выезд,O584MM76,GAZ,
17:11,выезд,M564AH94,AURUS,
17:25,выезд,M733XA13,GAZ,
17:26,заезд,C318XE38,UAZ,
17:28,выезд,C883EE06,VAZ,
17:31,выезд,P268KK78,LIAZ,
17:39,выезд,T375XT35,KAMAZ,
17:40,заезд,P268KK78,LIAZ,
17:47,выезд,T768PX28,VAZ,
17:57,выезд,Y574KX55,AURUS,
18:05,заезд,M169EH07,PAZ,
18:06,выезд,M803TC23,PAZ,
